Design,K,ZetaDominant,WnDominant_rad_s,SteadyStateError_pct,RiseTime_s,SettlingTime_s,Overshoot_pct,PeakAileron_deg
Lead zeta 0.70,0.31044,0.699997820249646,3.07549490967985,7.72835234727214,0.650112352297101,1.97761180554201,5.28640074607019,2.31733734979026
Lead zeta 0.60 (selected),0.39697,0.600012048216915,3.46758987492721,6.1473131368119,0.502717330241949,1.7862415759592,9.17148390365714,2.94781026290249
Lead zeta 0.50,0.51562,0.500010967856393,3.94447793002058,4.80065523612291,0.407718579262197,2.16120386324139,19.1198131800988,3.80343203721
