Mode,Pole,DampedFreq_rad_s,NaturalFreq_rad_s,DampingRatio,TimeConstant_sec
Dutch Roll,-1.4669253780781+8.16623346476285i,8.16623346476285,8.29694154889995,0.17680314721183,0.681697934294485
Dutch Roll,-1.4669253780781-8.16623346476285i,8.16623346476285,8.29694154889995,0.17680314721183,0.681697934294485
Spiral,-0.155983372068332+0i,0,0.155983372068332,1,6.41093974787215
Roll,-2.91516587177546+0i,0,2.91516587177546,1,0.343033653653114
Aileron Servo,-5+0i,0,5,1,0.2
