Design,R,RiseTime_s,SettlingTime_s,Overshoot_pct,SteadyStateError_deg,PeakAileron_deg,PeakCommand_deg
LQ conservative,1,1.38974258724945,2.62431408462721,0,3.5527136788005e-15,3.72558847096732,10.3156223110848
LQ balanced (selected),1,1.38910084144103,2.60700597402594,0,3.5527136788005e-15,4.26406822299909,13.3863921678528
LQ aggressive,0.5,1.38958947024129,2.58689084507798,0,3.5527136788005e-15,5.02679011584148,19.3082503018656
